,Hours,Probe
0,114.06,2/5/2021 11:09
1,114.07,2/5/2021 11:09
2,114.18,2/5/2021 11:09
3,114.2,2/5/2021 11:09
4,114.22,2/5/2021 11:09
5,114.23,2/5/2021 11:09
6,114.35,2/5/2021 11:09
7,114.43,2/5/2021 11:09
8,114.45,2/5/2021 11:09
9,114.63,2/5/2021 11:09
10,114.68,2/5/2021 11:09
11,114.72,2/5/2021 11:09
12,114.73,2/5/2021 11:09
13,114.77,2/5/2021 11:09
14,115.02,2/5/2021 11:09
15,115.07,2/5/2021 11:09
16,115.08,2/5/2021 11:09
17,115.1,2/5/2021 11:09
18,115.12,2/5/2021 11:09
19,115.13,2/5/2021 11:09
20,115.2,2/5/2021 11:09
21,115.3,2/5/2021 11:09
22,115.43,2/5/2021 11:09
23,115.57,2/5/2021 11:09
24,115.58,2/5/2021 11:09
25,115.85,2/5/2021 11:09
26,115.92,2/5/2021 11:09
27,115.93,2/5/2021 11:09
28,135.7,2/5/2021 11:09
29,135.8,2/5/2021 11:09
30,135.95,2/5/2021 11:09
31,135.97,2/5/2021 11:09
32,136.52,2/5/2021 11:09
33,136.53,2/5/2021 11:09
34,136.72,2/5/2021 11:09
35,136.85,2/5/2021 11:09
36,137.02,2/5/2021 11:09
37,137.03,2/5/2021 11:09
38,137.92,2/5/2021 11:09
39,137.93,2/5/2021 11:09
40,137.95,2/5/2021 11:09
41,137.97,2/5/2021 11:09
42,137.98,2/5/2021 11:09
43,138.0,2/5/2021 11:09
44,138.02,2/5/2021 11:09
45,138.03,2/5/2021 11:09
46,138.05,2/5/2021 11:09
47,138.07,2/5/2021 11:09
48,138.08,2/5/2021 11:09
49,138.1,2/5/2021 11:09
50,138.12,2/5/2021 11:09
51,138.13,2/5/2021 11:09
52,138.15,2/5/2021 11:09
53,138.2,2/5/2021 11:09
54,138.22,2/5/2021 11:09
55,138.23,2/5/2021 11:09
56,138.25,2/5/2021 11:09
57,138.27,2/5/2021 11:09
58,138.35,2/5/2021 11:09
59,138.37,2/5/2021 11:09
60,138.42,2/5/2021 11:09
61,138.43,2/5/2021 11:09
62,138.45,2/5/2021 11:09
63,138.5,2/5/2021 11:09
64,138.53,2/5/2021 11:09
65,138.78,2/5/2021 11:09
66,138.8,2/5/2021 11:09
67,138.9,2/5/2021 11:09
68,138.98,2/5/2021 11:09
69,139.0,2/5/2021 11:09
70,139.02,2/5/2021 11:09
71,139.03,2/5/2021 11:09
72,139.05,2/5/2021 11:09
73,139.08,2/5/2021 11:09
74,139.1,2/5/2021 11:09
75,139.12,2/5/2021 11:09
76,139.13,2/5/2021 11:09
77,139.15,2/5/2021 11:09
78,139.17,2/5/2021 11:09
79,139.18,2/5/2021 11:09
80,139.2,2/5/2021 11:09
81,139.25,2/5/2021 11:09
82,139.27,2/5/2021 11:09
83,139.28,2/5/2021 11:09
84,139.3,2/5/2021 11:09
85,139.37,2/5/2021 11:09
86,139.4,2/5/2021 11:09
87,139.52,2/5/2021 11:09
88,139.53,2/5/2021 11:09
