,station_id,Hours,variable,records
0,CS1-1,114.06,dO,161.28
1,CS1-1,114.07,dO,102.47
2,CS1-1,114.18,dO,86.8
3,CS1-1,114.2,dO,85.18
4,CS1-1,114.22,dO,86.67
5,CS1-1,114.23,dO,87.98
6,CS1-1,114.35,dO,86.87
7,CS1-1,114.43,dO,86.87
8,CS1-1,114.45,dO,85.76
9,CS1-1,114.63,dO,86.91
10,CS1-1,114.68,dO,88.66
11,CS1-1,114.72,dO,88.66
12,CS1-1,114.73,dO,90.1
13,CS1-1,114.77,dO,91.17
14,CS1-1,115.02,dO,92.32
15,CS1-1,115.07,dO,92.32
16,CS1-1,115.08,dO,95.88
17,CS1-1,115.1,dO,95.88
18,CS1-1,115.12,dO,97.2
19,CS1-1,115.13,dO,98.39
20,CS1-1,115.2,dO,99.47
21,CS1-1,115.3,dO,100.5
22,CS1-1,115.43,dO,99.34
23,CS1-1,115.57,dO,99.34
24,CS1-1,115.58,dO,100.44
25,CS1-1,115.85,dO,99.4
26,CS1-1,115.92,dO,99.4
27,CS1-1,115.93,dO,100.47
28,CS1-1,135.7,dO,99.43
29,CS1-1,135.8,dO,100.5
30,CS1-1,135.95,dO,100.5
31,CS1-1,135.97,dO,98.15
32,CS1-1,136.52,dO,98.15
33,CS1-1,136.53,dO,97.08
34,CS1-1,136.72,dO,95.95
35,CS1-1,136.85,dO,94.95
36,CS1-1,137.02,dO,93.88
37,CS1-1,137.03,dO,93.88
38,CS1-1,137.92,dO,53.9
39,CS1-1,137.93,dO,75.26
40,CS1-1,137.95,dO,77.46
41,CS1-1,137.97,dO,80.21
42,CS1-1,137.98,dO,83.17
43,CS1-1,138.0,dO,85.89
44,CS1-1,138.02,dO,87.3
45,CS1-1,138.03,dO,88.33
46,CS1-1,138.05,dO,86.73
47,CS1-1,138.07,dO,83.83
48,CS1-1,138.08,dO,82.46
49,CS1-1,138.1,dO,79.7
50,CS1-1,138.12,dO,77.39
51,CS1-1,138.13,dO,74.96
52,CS1-1,138.15,dO,73.59
53,CS1-1,138.2,dO,74.7
54,CS1-1,138.22,dO,77.13
55,CS1-1,138.23,dO,83.26
56,CS1-1,138.25,dO,84.43
57,CS1-1,138.27,dO,85.46
58,CS1-1,138.35,dO,85.46
59,CS1-1,138.37,dO,86.55
60,CS1-1,138.42,dO,86.55
61,CS1-1,138.43,dO,85.36
62,CS1-1,138.45,dO,86.36
63,CS1-1,138.5,dO,84.88
64,CS1-1,138.53,dO,86.14
65,CS1-1,138.78,dO,86.14
66,CS1-1,138.8,dO,85.1
67,CS1-1,138.9,dO,83.69
68,CS1-1,138.98,dO,84.76
69,CS1-1,139.0,dO,85.76
70,CS1-1,139.02,dO,84.48
71,CS1-1,139.03,dO,83.37
72,CS1-1,139.05,dO,85.6
73,CS1-1,139.08,dO,84.54
74,CS1-1,139.1,dO,85.89
75,CS1-1,139.12,dO,86.94
76,CS1-1,139.13,dO,85.7
77,CS1-1,139.15,dO,85.7
78,CS1-1,139.17,dO,86.8
79,CS1-1,139.18,dO,85.7
80,CS1-1,139.2,dO,84.65
81,CS1-1,139.25,dO,83.45
82,CS1-1,139.27,dO,84.61
83,CS1-1,139.28,dO,84.61
84,CS1-1,139.3,dO,83.11
85,CS1-1,139.37,dO,84.2
86,CS1-1,139.4,dO,85.39
87,CS1-1,139.52,dO,84.35
88,CS1-1,139.53,dO,83.17
89,CS1-1,139.55,dO,84.25
90,CS1-1,139.57,dO,84.25
91,CS1-1,139.58,dO,83.13
92,CS1-1,139.6,dO,84.35
93,CS1-1,139.62,dO,83.0
94,CS1-1,139.63,dO,83.0
95,CS1-1,139.65,dO,84.25
96,CS1-1,139.67,dO,81.43
97,CS1-1,139.68,dO,76.71
98,CS1-1,139.7,dO,78.77
99,CS1-1,139.72,dO,79.79
100,CS1-1,139.73,dO,76.86
101,CS1-1,139.75,dO,79.83
102,CS1-1,139.78,dO,78.66
103,CS1-1,139.82,dO,77.54
104,CS1-1,139.85,dO,78.72
105,CS1-1,139.87,dO,77.69
106,CS1-1,139.88,dO,79.03
107,CS1-1,139.92,dO,77.9
108,CS1-1,139.93,dO,79.34
109,CS1-1,139.95,dO,78.18
110,CS1-1,139.97,dO,76.7
111,CS1-1,139.98,dO,78.01
112,CS1-1,140.0,dO,75.74
113,CS1-1,140.02,dO,77.13
114,CS1-1,140.03,dO,75.4
115,CS1-1,140.05,dO,75.4
116,CS1-1,140.07,dO,76.41
117,CS1-1,140.08,dO,75.24
118,CS1-1,140.12,dO,74.05
119,CS1-1,140.27,dO,72.52
120,CS1-1,140.3,dO,73.59
121,CS1-1,140.32,dO,72.41
122,CS1-1,140.38,dO,72.41
123,CS1-1,140.4,dO,72.07
124,CS1-1,140.42,dO,72.07
125,CS1-1,140.43,dO,70.44
126,CS1-1,140.48,dO,70.44
127,CS1-1,140.5,dO,69.44
128,CS1-1,140.53,dO,68.32
129,CS1-1,140.62,dO,71.99
130,CS1-1,140.63,dO,76.33
131,CS1-1,140.72,dO,75.11
132,CS1-1,140.73,dO,75.11
133,CS1-1,140.75,dO,73.94
134,CS1-1,140.8,dO,72.78
135,CS1-1,140.85,dO,71.25
136,CS1-1,140.9,dO,67.03
137,CS1-1,140.92,dO,64.58
138,CS1-1,140.95,dO,65.79
139,CS1-1,140.97,dO,63.68
140,CS1-1,140.98,dO,64.81
141,CS1-1,141.0,dO,64.81
142,CS1-1,141.02,dO,61.56
143,CS1-1,141.03,dO,62.7
144,CS1-1,141.08,dO,61.4
145,CS1-1,141.2,dO,59.09
146,CS1-1,141.22,dO,60.27
147,CS1-1,141.25,dO,58.84
148,CS1-1,141.28,dO,58.84
149,CS1-1,141.3,dO,57.62
150,CS1-1,141.33,dO,56.58
151,CS1-1,141.35,dO,54.11
152,CS1-1,141.37,dO,53.09
153,CS1-1,141.38,dO,53.09
154,CS1-1,141.4,dO,50.77
155,CS1-1,141.43,dO,52.0
156,CS1-1,141.47,dO,50.23
157,CS1-1,141.48,dO,48.53
158,CS1-1,141.52,dO,47.47
159,CS1-1,141.53,dO,45.64
160,CS1-1,141.55,dO,41.53
161,CS1-1,141.57,dO,40.15
162,CS1-1,141.58,dO,34.9
163,CS1-1,141.6,dO,30.82
164,CS1-1,141.62,dO,43.3
165,CS1-1,141.63,dO,36.92
166,CS1-1,141.65,dO,35.16
167,CS1-1,141.67,dO,31.35
168,CS1-1,141.68,dO,25.84
169,CS1-1,141.7,dO,24.26
170,CS1-1,141.72,dO,21.13
171,CS1-1,141.73,dO,20.54
172,CS1-1,141.75,dO,7.11
173,CS1-1,141.77,dO,1.68
174,CS1-1,141.78,dO,31.03
175,CS1-1,141.8,dO,26.65
176,CS1-1,141.82,dO,32.1
177,CS1-1,141.83,dO,31.03
178,CS1-1,141.85,dO,28.54
179,CS1-1,141.87,dO,29.89
180,CS1-1,141.88,dO,29.89
181,CS1-1,141.9,dO,28.86
182,CS1-1,141.92,dO,31.06
183,CS1-1,141.93,dO,28.15
184,CS1-1,141.95,dO,29.39
185,CS1-1,141.97,dO,29.74
186,CS1-1,142.05,dO,31.75
187,CS1-1,142.07,dO,29.21
188,CS1-1,142.08,dO,30.33
189,CS1-1,142.12,dO,30.33
190,CS1-1,142.13,dO,28.93
191,CS1-1,142.15,dO,30.61
192,CS1-1,142.17,dO,29.97
193,CS1-1,142.18,dO,29.71
194,CS1-1,142.2,dO,29.71
195,CS1-1,142.22,dO,29.84
196,CS1-1,142.25,dO,28.54
197,CS1-1,142.27,dO,31.4
198,CS1-1,142.28,dO,29.71
199,CS1-1,142.3,dO,29.76
200,CS1-1,142.32,dO,30.85
201,CS1-1,142.35,dO,29.41
202,CS1-1,142.37,dO,33.72
203,CS1-1,142.38,dO,31.99
204,CS1-1,142.4,dO,33.86
205,CS1-1,142.42,dO,24.19
